trial_id,config_id,k_margin,base_accuracy,steps,voting_correct,single_correct,total_samples,converged,elapsed_ms
0,k1_live,1,0,1,true,true,1,true,120
1,k1_live,1,0,1,false,false,1,true,122
2,k1_live,1,0,1,false,false,1,true,133
3,k1_live,1,0,1,false,false,1,true,147
4,k1_live,1,0,1,false,false,1,true,126
5,k1_live,1,0,1,true,false,1,true,128
6,k1_live,1,0,1,false,false,1,true,132
7,k1_live,1,0,1,false,false,1,true,135
8,k1_live,1,0,1,false,false,1,true,142
9,k1_live,1,0,1,true,true,1,true,144
10,k1_live,1,0,1,false,false,1,true,141
11,k1_live,1,0,1,false,false,1,true,142
12,k1_live,1,0,1,true,true,1,true,139
13,k1_live,1,0,1,false,false,1,true,141
14,k1_live,1,0,1,false,false,1,true,144
15,k1_live,1,0,1,false,false,1,true,138
16,k1_live,1,0,1,false,false,1,true,151
17,k1_live,1,0,1,true,false,1,true,117
18,k1_live,1,0,1,false,false,1,true,139
19,k1_live,1,0,1,false,false,1,true,136
20,k1_live,1,0,1,false,false,1,true,142
21,k1_live,1,0,1,true,true,1,true,142
22,k1_live,1,0,1,false,false,1,true,141
23,k1_live,1,0,1,false,false,1,true,140
24,k1_live,1,0,1,true,true,1,true,135
25,k1_live,1,0,1,false,false,1,true,152
26,k1_live,1,0,1,false,false,1,true,136
27,k1_live,1,0,1,false,false,1,true,150
28,k1_live,1,0,1,false,false,1,true,146
29,k1_live,1,0,1,true,false,1,true,138
30,k1_live,1,0,1,false,false,1,true,112
31,k1_live,1,0,1,false,false,1,true,115
32,k1_live,1,0,1,false,false,1,true,138
33,k1_live,1,0,1,true,true,1,true,134
34,k1_live,1,0,1,false,false,1,true,142
35,k1_live,1,0,1,false,false,1,true,143
36,k1_live,1,0,1,true,true,1,true,158
37,k1_live,1,0,1,false,false,1,true,135
38,k1_live,1,0,1,false,false,1,true,142
39,k1_live,1,0,1,false,false,1,true,152
40,k1_live,1,0,1,false,false,1,true,159
41,k1_live,1,0,1,true,true,1,true,136
42,k1_live,1,0,1,false,false,1,true,140
43,k1_live,1,0,1,false,false,1,true,141
44,k1_live,1,0,1,false,false,1,true,133
45,k1_live,1,0,1,true,true,1,true,139
46,k1_live,1,0,1,false,false,1,true,119
47,k1_live,1,0,1,false,false,1,true,132
48,k1_live,1,0,1,true,true,1,true,137
49,k1_live,1,0,1,false,false,1,true,131
50,k1_live,1,0,1,false,false,1,true,138
51,k1_live,1,0,1,false,false,1,true,149
52,k1_live,1,0,1,false,false,1,true,141
53,k1_live,1,0,1,true,true,1,true,153
54,k1_live,1,0,1,false,false,1,true,138
55,k1_live,1,0,1,false,false,1,true,139
56,k1_live,1,0,1,false,false,1,true,134
57,k1_live,1,0,1,true,true,1,true,142
58,k1_live,1,0,1,false,false,1,true,140
59,k1_live,1,0,1,false,false,1,true,115
60,k1_live,1,0,1,true,true,1,true,130
61,k1_live,1,0,1,false,false,1,true,138
62,k1_live,1,0,1,false,false,1,true,135
63,k1_live,1,0,1,false,false,1,true,139
64,k1_live,1,0,1,false,false,1,true,146
65,k1_live,1,0,1,true,true,1,true,141
66,k1_live,1,0,1,false,false,1,true,142
67,k1_live,1,0,1,false,false,1,true,146
68,k1_live,1,0,1,false,false,1,true,141
69,k1_live,1,0,1,true,true,1,true,141
70,k1_live,1,0,1,false,false,1,true,137
71,k1_live,1,0,1,false,false,1,true,141
72,k1_live,1,0,1,true,true,1,true,139
73,k1_live,1,0,1,false,false,1,true,114
74,k1_live,1,0,1,false,false,1,true,109
75,k1_live,1,0,1,false,false,1,true,144
76,k1_live,1,0,1,false,false,1,true,151
77,k1_live,1,0,1,true,false,1,true,141
78,k1_live,1,0,1,false,false,1,true,139
79,k1_live,1,0,1,false,false,1,true,149
80,k1_live,1,0,1,false,false,1,true,140
81,k1_live,1,0,1,true,true,1,true,145
82,k1_live,1,0,1,false,false,1,true,150
83,k1_live,1,0,1,false,false,1,true,147
84,k1_live,1,0,1,true,true,1,true,141
85,k1_live,1,0,1,false,false,1,true,136
